State,2010%,2020%,2023%
Alabama,67.00%,63.10%,63.34%
Alaska,64.10%,57.50%,57.66%
Arizona,57.80%,53.40%,52.27%
Arkansas,74.50%,68.50%,67.11%
California,40.10%,34.70%,33.27%
Colorado,70.00%,65.10%,64.47%
Connecticut,71.20%,63.20%,61.36%
Delaware,65.30%,58.60%,58.03%
District of Columbia,34.80%,38.00%,37.15%
Florida,57.90%,51.50%,50.29%
Georgia,55.90%,50.10%,48.66%
Hawaii,22.70%,21.60%,20.89%
Idaho,84.00%,78.90%,78.38%
Illinois,63.70%,58.30%,57.85%
Indiana,81.50%,75.50%,75.10%
Iowa,88.70%,82.70%,82.38%
Kansas,78.20%,72.20%,72.75%
Kentucky,86.30%,81.30%,81.54%
Louisiana,60.30%,55.80%,55.68%
Maine,94.40%,90.20%,89.52%
Maryland,54.70%,47.20%,46.32%
Massachusetts,76.10%,67.60%,65.93%
Michigan,76.60%,72.40%,72.35%
Minnesota,83.10%,76.30%,75.56%
Mississippi,58.00%,55.40%,55.07%
Missouri,81.00%,75.80%,76.47%
Montana,87.80%,83.10%,83.30%
Nebraska,82.10%,75.70%,75.16%
Nevada,54.10%,45.90%,44.39%
New Hampshire,92.30%,87.20%,86.48%
New Jersey,59.30%,51.80%,50.62%
New Mexico,40.50%,36.50%,35.93%
New York,58.30%,52.50%,52.75%
North Carolina,65.30%,60.50%,59.75%
North Dakota,88.90%,81.70%,81.46%
Ohio,81.10%,75.90%,75.61%
Oklahoma,68.70%,60.80%,61.73%
Oregon,78.50%,71.70%,70.80%
Pennsylvania,79.50%,73.50%,72.71%
Rhode Island,76.40%,68.70%,67.68%
South Carolina,64.10%,62.10%,61.91%
South Dakota,84.70%,79.60%,79.40%
Tennessee,75.60%,70.90%,71.06%
Texas,45.30%,39.70%,38.74%
Utah,80.40%,75.40%,74.55%
Vermont,94.30%,89.10%,89.28%
Virginia,64.80%,58.60%,58.08%
Washington,72.50%,63.80%,62.43%
West Virginia,93.20%,89.10%,89.43%
Wisconsin,83.30%,78.60%,78.39%
Wyoming,85.90%,81.40%,81.27%
